bus_10001,bus_10022,bus_10025,bus_10033,bus_10035,bus_10093,bus_10228,bus_10525,bus_10558,bus_10570,bus_10600,bus_10677,bus_11014,bus_13000,bus_13366,bus_13420,bus_13446,bus_13499,bus_20000,bus_20007,bus_20026,bus_20136,bus_21121,bus_23054,bus_23060,bus_23263,bus_25160,bus_25289,bus_25439,bus_25598,bus_25675,bus_25714,bus_25867,bus_28078,bus_28122,bus_28365,bus_28667,bus_30001,bus_30220,bus_30221,bus_30369,bus_40001,bus_40003,bus_40004,bus_40006,bus_40007,bus_40008,bus_40050,bus_40595,bus_40602,bus_40691,bus_40840,bus_40884,bus_50000,bus_50007,bus_50024,bus_50196,bus_50316,bus_53000,bus_53002,bus_53012,bus_60000,bus_60003,bus_60577,bus_70000,bus_70016,bus_70063,bus_74001,bus_74053,bus_74104,bus_74132,bus_74235,bus_77001,bus_77173,bus_80007
0.0,65.5675,113.5458,0.0,0.0,281.14869999999996,289.3862,2.8497,28.953000000000003,5.0358,0.0,49.48009999999999,1207.7931999999998,0.0,135.33550000000002,0.0,291.7729,3081.7277999999988,0.0,6.8579,146.8314,662.0432000000001,0.0,47.222699999999996,33.966899999999995,0.0,0.0,1.4941,0.0,0.0,0.0,0.0,202.60449999999997,0.0,0.0,0.0,0.0,91.67660000000001,148.563,0.0,478.77250000000004,0.0,0.0,13.525,13.7634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5096,0.0,0.0,0.0,0.2675,0.0,0.0,0.0,0.2344,4.5175,40.9216,0.0,40.9255,33.1809,29.160599999999995,20.1964,110.43360000000003,407.20649999999995,0.0,0.0,0.0017
0.0,65.5675,113.5458,0.0,0.0,281.14869999999996,289.3862,2.8497,28.953000000000003,5.0358,0.0,49.48009999999999,1207.7931999999998,0.0,135.33550000000002,0.0,291.7729,3081.7277999999988,0.0,6.8579,146.8314,662.0432000000001,0.0,47.222699999999996,33.966899999999995,0.0,0.0,1.4941,0.0,0.0,0.0,0.0,202.60449999999997,0.0,0.0,0.0,0.0,91.67660000000001,148.563,0.0,478.77250000000004,0.0,0.0,13.525,13.7634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5096,0.0,0.0,0.0,0.2675,0.0,0.0,0.0,0.2344,4.5175,40.9216,0.0,40.9255,33.1809,29.160599999999995,20.1964,110.43360000000003,407.20649999999995,0.0,0.0,0.0017
0.0,65.5675,113.5458,0.0,0.0,281.14869999999996,289.3862,2.8497,28.953000000000003,5.0358,0.0,49.48009999999999,1207.7931999999998,0.0,135.33550000000002,0.0,291.7729,3081.7277999999988,0.0,6.8579,146.8314,662.0432000000001,0.0,47.222699999999996,33.966899999999995,0.0,0.0,1.4941,0.0,0.0,0.0,0.0,202.60449999999997,0.0,0.0,0.0,0.0,91.67660000000001,148.563,0.0,478.77250000000004,0.0,0.0,13.525,13.7634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5096,0.0,0.0,0.0,0.2675,0.0,0.0,0.0,0.2344,4.5175,40.9216,0.0,40.9255,33.1809,29.160599999999995,20.1964,110.43360000000003,407.20649999999995,0.0,0.0,0.0017
0.0,65.5675,113.5458,0.0,0.0,281.14869999999996,289.3862,2.8497,28.953000000000003,5.0358,0.0,49.48009999999999,1207.7931999999998,0.0,135.33550000000002,0.0,291.7729,3081.7277999999988,0.0,6.8579,146.8314,662.0432000000001,0.0,47.222699999999996,33.966899999999995,0.0,0.0,1.4941,0.0,0.0,0.0,0.0,202.60449999999997,0.0,0.0,0.0,0.0,91.67660000000001,148.563,0.0,478.77250000000004,0.0,0.0,13.525,13.7634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5096,0.0,0.0,0.0,0.2675,0.0,0.0,0.0,0.2344,4.5175,40.9216,0.0,40.9255,33.1809,29.160599999999995,20.1964,110.43360000000003,407.20649999999995,0.0,0.0,0.0017
0.0,66.3741,95.3819,0.0,0.0,178.2492,326.773,2.6302,35.668400000000005,4.46,0.0,49.435500000000005,1380.3609000000001,0.0,81.95100000000001,0.0,323.42629999999997,2877.615999999999,0.0,3.9285,74.1193,411.85310000000004,0.0,39.8301,25.7571,0.0,0.0,2.8882,0.0,0.0,0.0,0.0,239.40230000000003,0.0,0.0,0.0,0.0,63.13850000000001,187.721,0.0,502.5238000000001,0.0,0.0,14.6186,18.7734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2328,0.0,0.0,0.0,0.2739,0.0,0.0,0.0,0.287,4.5947000000000005,42.8296,0.0,47.700199999999995,37.2136,29.134300000000003,21.561200000000003,137.5769,417.8056,0.0,0.0,0.0014
0.0,66.3741,95.3819,0.0,0.0,178.2492,326.773,2.6302,35.668400000000005,4.46,0.0,49.435500000000005,1380.3609000000001,0.0,81.95100000000001,0.0,323.42629999999997,2877.615999999999,0.0,3.9285,74.1193,411.85310000000004,0.0,39.8301,25.7571,0.0,0.0,2.8882,0.0,0.0,0.0,0.0,239.40230000000003,0.0,0.0,0.0,0.0,63.13850000000001,187.721,0.0,502.5238000000001,0.0,0.0,14.6186,18.7734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2328,0.0,0.0,0.0,0.2739,0.0,0.0,0.0,0.287,4.5947000000000005,42.8296,0.0,47.700199999999995,37.2136,29.134300000000003,21.561200000000003,137.5769,417.8056,0.0,0.0,0.0014
0.0,66.3741,95.3819,0.0,0.0,178.2492,326.773,2.6302,35.668400000000005,4.46,0.0,49.435500000000005,1380.3609000000001,0.0,81.95100000000001,0.0,323.42629999999997,2877.615999999999,0.0,3.9285,74.1193,411.85310000000004,0.0,39.8301,25.7571,0.0,0.0,2.8882,0.0,0.0,0.0,0.0,239.40230000000003,0.0,0.0,0.0,0.0,63.13850000000001,187.721,0.0,502.5238000000001,0.0,0.0,14.6186,18.7734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2328,0.0,0.0,0.0,0.2739,0.0,0.0,0.0,0.287,4.5947000000000005,42.8296,0.0,47.700199999999995,37.2136,29.134300000000003,21.561200000000003,137.5769,417.8056,0.0,0.0,0.0014
0.0,66.3741,95.3819,0.0,0.0,178.2492,326.773,2.6302,35.668400000000005,4.46,0.0,49.435500000000005,1380.3609000000001,0.0,81.95100000000001,0.0,323.42629999999997,2877.615999999999,0.0,3.9285,74.1193,411.85310000000004,0.0,39.8301,25.7571,0.0,0.0,2.8882,0.0,0.0,0.0,0.0,239.40230000000003,0.0,0.0,0.0,0.0,63.13850000000001,187.721,0.0,502.5238000000001,0.0,0.0,14.6186,18.7734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2328,0.0,0.0,0.0,0.2739,0.0,0.0,0.0,0.287,4.5947000000000005,42.8296,0.0,47.700199999999995,37.2136,29.134300000000003,21.561200000000003,137.5769,417.8056,0.0,0.0,0.0014
0.0,66.3741,95.3819,0.0,0.0,178.2492,326.773,2.6302,35.668400000000005,4.46,0.0,49.435500000000005,1380.3609000000001,0.0,81.95100000000001,0.0,323.42629999999997,2877.615999999999,0.0,3.9285,74.1193,411.85310000000004,0.0,39.8301,25.7571,0.0,0.0,2.8882,0.0,0.0,0.0,0.0,239.40230000000003,0.0,0.0,0.0,0.0,63.13850000000001,187.721,0.0,502.5238000000001,0.0,0.0,14.6186,18.7734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2328,0.0,0.0,0.0,0.2739,0.0,0.0,0.0,0.287,4.5947000000000005,42.8296,0.0,47.700199999999995,37.2136,29.134300000000003,21.561200000000003,137.5769,417.8056,0.0,0.0,0.0014
0.0,66.3741,95.3819,0.0,0.0,178.2492,326.773,2.6302,35.668400000000005,4.46,0.0,49.435500000000005,1380.3609000000001,0.0,81.95100000000001,0.0,323.42629999999997,2877.615999999999,0.0,3.9285,74.1193,411.85310000000004,0.0,39.8301,25.7571,0.0,0.0,2.8882,0.0,0.0,0.0,0.0,239.40230000000003,0.0,0.0,0.0,0.0,63.13850000000001,187.721,0.0,502.5238000000001,0.0,0.0,14.6186,18.7734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2328,0.0,0.0,0.0,0.2739,0.0,0.0,0.0,0.287,4.5947000000000005,42.8296,0.0,47.700199999999995,37.2136,29.134300000000003,21.561200000000003,137.5769,417.8056,0.0,0.0,0.0014
